Permutation_Index,Delta_pp
452,0.16233545985461678
453,0.14192559677354996
454,0.07818872782670788
455,-0.12881287145787074
456,0.18967636642561234
457,-0.07100743576593681
458,0.055327955019022615
459,-0.05303106301038831
460,0.11332891128191455
461,0.17212926057522515
462,0.2363933739568699
463,0.06627828118526274
464,0.11709544011824286
465,-0.023902877783734712
466,0.20748837019307995
467,0.3470515836342327
468,-0.07235135910729087
469,0.20732614477357303
470,0.21509719850211495
471,0.1228360160633598
472,0.20805992518023392
473,-0.0007007003456464128
474,-0.005814973674406372
475,0.1472344966875443
476,0.285920523002077
477,0.09321697480555624
478,-0.03454254504335792
479,0.0029022948315227635
480,0.3274819892590842
481,0.19267943648961636
482,0.10246745151125478
483,0.0684782986793405
484,0.17873253061810782
485,0.2517029349662988
486,0.20700813800920964
487,0.16268604738438244
488,0.13715239818495628
489,0.08792613326873405
490,0.10858510046103985
491,0.10448291210436284
492,-0.028688841517871377
493,-0.040619089572397404
494,0.15478346127079093
495,0.09548177944413427
496,0.09981073417157406
497,0.028720508909392713
498,0.2574960480939458
499,0.25039561705389934
500,0.19714707093076628
501,0.3257714908877528
502,0.14946276772329947
503,0.0988988349789029
504,0.010525017477973787
505,0.13127590093563943
506,0.15230028122145853
507,0.11796737860410482
508,0.05380511890266748
509,-0.09611077259164477
510,0.19195295744223367
511,0.04943358306877385
512,0.024149064265555423
513,0.13555605542032717
514,-0.007564342409533895
515,-0.011626097717704759
516,0.18932003653916557
517,-0.02552272594272282
518,0.2103507877173492
519,-0.09330764839665323
520,0.1927307301255095
521,0.2533093428208384
522,0.05642603372283551
523,0.16156223537346706
524,0.040602509596717254
525,0.09389921009719761
526,0.2391027074144925
527,0.19847507548668622
528,0.00744810985799948
529,-0.022961655924058633
530,0.1101568426117445
531,0.03578428932939585
532,0.03624956919178442
533,0.07032662032149312
534,0.23780585491619388
535,0.065409764208375
536,0.05328869443841497
537,0.3088480364789003
538,0.10332392777449867
539,0.15976659791449394
540,0.2139438309682824
541,0.12238422068814757
542,0.10506590139171831
543,0.06255754577548962
544,0.019963090075780527
545,0.022035155064233525
546,0.16201363743113878
547,0.05106849383056042
548,0.16475059017324892
549,0.06755959269715735
550,0.15671524736427817
551,0.05090898674213759
552,0.16478079603907714
553,-0.0016417827470211616
554,0.014622201057928365
555,0.1867480246422815
556,0.11240700175863685
557,0.226738101009997
558,0.1727794030496774
559,-0.15169979480628798
560,0.031568146188829235
561,0.13998049721688993
562,0.24873824277984066
563,-0.041793399108515636
564,0.0769582161501011
565,0.05656435742367556
566,-0.02185373005700441
567,0.28713241688308017
568,0.3209674326075821
569,0.1831133973348982
570,0.14623503614967664
571,0.17297398492076002
572,-0.08996555014017094
573,0.2517482871042399
574,-0.06190986348888713
575,0.20562799095940038
576,0.06314611475614229
577,-0.06606202414642069
578,0.32485689771473414
579,0.21776958565018056
580,0.0857842399421281
581,0.01613860088186961
582,0.06815071608500065
583,0.22072228274184177
584,0.09082735997442935
585,0.13270297951768623
586,0.15393723317173527
587,0.18437460060261485
588,0.266846604488587
589,0.11916005086900772
590,0.10999759451194761
591,0.022804593067286393
592,0.0401844275131636
593,-0.0003247713887351636
594,-0.12219939678160935
595,0.012372108014188817
596,-0.02889662701096073
597,0.15082089223984246
598,0.10860066727528661
599,0.12257843632807386
600,-0.03806564944738655
601,-0.04129847934200562
602,0.42235426795409914
603,-0.023221598389508956
604,0.2667576720918001
605,0.34044616429731955
606,0.08056903744479704
607,0.15190935482510248
608,0.2512569833104201
609,0.030848669349319794
610,0.12016571044071506
611,0.06580402285369882
612,0.015059797449130854
613,-0.05618728340592658
614,0.0551261209899811
615,-0.021326864910452402
616,0.277671531937656
617,-0.038376420610122766
618,0.019184845529820766
619,0.05993359896203764
620,-0.005210380510691816
621,0.27610353623300543
622,0.048070276491088935
623,0.2357358271506723
624,0.15708893932700907
625,0.1982301244854102
626,0.21112784342666976
627,0.024778482545334934
628,0.14431817913039216
629,0.0660945085181777
630,0.11951614106069826
631,0.1313333591707041
632,0.10048656942689663
633,0.22063880450468146
634,0.24437174017462282
635,0.2116518585812135
636,0.023362809931494043
637,0.030679050009430706
638,-0.0213161733314704
639,0.21771824905105053
640,0.038021118643901015
641,0.01771452468668543
642,0.07833380144707482
643,0.024264530943541706
644,0.3564090276611994
645,0.08672450338793203
646,0.14228074276861086
647,0.20974410161472948
648,0.09707148803399157
649,0.17272262243589412
650,0.11546969229387768
