Permutation_Index,Theta_pp
150,-0.7095654241653678
151,-1.060006184407587
152,-0.12026878504909759
153,-0.2708751137130591
154,-0.3085736167864597
155,-0.8477182149180912
156,-1.2063410964561234
157,-0.42872473674566314
158,-1.043743023708623
159,-0.5741095987384661
160,-0.002257345402020297
161,-0.8181707570436983
162,-0.37583349619680706
163,-0.5461863145323815
164,-0.6701939264262274
165,-0.7205295569281701
166,-0.6992122914916019
167,-1.1965122684034764
168,-0.8503608954768375
169,-0.44445330337172073
170,-1.0763562041912755
171,-1.3605510281918416
172,-1.1712679905138625
173,-0.5504795175210682
174,-0.30809468657241174
175,-0.31518162274722256
176,-0.5863569290339996
177,-0.527265239585758
178,-0.5520440092669587
179,-0.150038748710477
180,-0.41193409451802615
181,-0.4239288003814082
182,-0.6065936303386623
183,-0.8930979217821658
184,-0.7922834631441954
185,-0.5666492558604637
186,-1.2073415269291545
187,-1.1866916840152362
188,-0.7242097086925666
189,-0.6965554822272343
190,-0.5824806507309046
191,-0.788506743380384
192,-0.6404330418472832
193,-0.751849330127464
194,-0.6681506456128021
195,-0.8575480258875285
196,-1.0730092286253192
197,-1.0016515554135141
198,-1.2224933479184426
199,-1.000303592212076
200,-0.8540968373133182
201,-0.7179479585154293
202,-1.2617794367680828
203,-0.8129240470853916
204,-0.4140567083082189
205,-0.5505143223330549
206,-0.7705475816293184
207,-0.44017364559472627
208,-0.5478443862864641
209,-0.9245627745813625
210,-1.0029814211647476
211,-1.0522446721027097
212,-1.0777723799788843
213,-0.6828705524549511
214,-1.0531142900483217
215,-1.1277531645926648
216,-0.6247840800362512
217,-0.5920113116558696
218,-0.476017201248671
219,-1.1960414520376637
220,-0.8090392985742971
221,-0.09270201766814595
222,-0.9328496407902738
223,-0.902516525777926
224,-0.6132355867552879
225,-0.8262757218152376
226,-0.9561457613171046
227,-0.6062406602612815
228,-0.4850400027036662
229,-0.26405886280237745
230,-0.9139925925204206
231,-0.6486539937695947
232,-0.3024130099482282
233,-0.10274552399190731
234,-0.15132632228477497
235,-0.5153443428765101
236,-1.3825369902506885
237,-0.4460150891851855
238,-0.7531280516432487
239,-0.572298420425232
240,-0.4960761357231863
241,-0.8347759179226425
242,-1.079108111683289
243,-0.6640675578336132
244,-0.8060043988902447
245,-0.7142855146899942
246,-0.7842813999935232
247,-1.0383772686758406
248,-0.6410805406904702
249,-0.907638333903112
250,-0.49101473870401846
251,-0.5191452703289403
252,-0.8622872297557548
253,-0.8391093469715027
254,-1.0937831390766186
255,-0.8909142645644235
256,-1.2058979378539616
257,-0.5153332483759517
258,-0.9986916916273693
259,0.035497332334003345
260,-0.3601882266662116
261,-0.09319059517015774
262,-0.7539141412205345
263,-0.7112680858893247
264,-1.2088762094833272
265,-0.9027264399062547
266,-0.5705480356148716
267,-1.4842661657149891
268,-0.37980515387459185
269,-0.5511223094103002
270,-1.167442587114103
271,-0.6187248403941588
272,-1.340943094277947
273,-0.7844749805924655
274,-0.8443588390896997
275,-0.6146171602470853
276,-0.8723909995250989
277,-0.7118130654234627
278,-1.1094603963558967
279,-0.650926579258838
280,-0.7688617972625903
281,-1.2416207986941727
282,-0.8718930328423231
283,-0.8833448290605797
284,-1.1993823216495647
285,-0.7228559126483115
286,-0.7478611926211135
287,-0.2927563541234887
288,-0.9847637932735296
289,-0.5039435692308227
290,-0.38749272812401375
291,-0.721035921383603
292,-0.4748382073911477
293,-0.96164267857733
294,-0.9314282020225969
295,-0.5193546473896166
296,-1.0016305246608408
297,-0.806132333164687
298,-0.6088860476553729
299,-1.000817548539676
300,-0.37359222144559917
301,-1.04902476338115
302,-0.434647468239803
303,-1.004547632575069
304,-0.594598384168792
305,-0.9997962215688933
306,-1.1859589620883226
307,-0.6008272867905107
308,-0.9353329882481801
309,-0.5664237842307815
310,-0.5914672143782146
311,-1.1123023303332866
312,-0.6072989264893192
313,-1.471032894363682
314,-0.7165587805973688
315,-0.5964823250264509
316,-0.8670719951784175
317,-0.5433747828314317
318,-0.4737979001390985
319,-0.9473207716912343
320,-1.1428656323270396
321,-0.9615955684441964
322,-0.47114579519021693
323,-1.2303285776638522
324,-0.7738606240397317
325,-0.3849370457982205
326,-0.5811637335048084
327,-0.9457616728814455
328,-0.9255575582619919
329,-0.4437614239160025
330,-0.48134828346086156
331,-0.5281976562579606
332,-0.5245123615138272
333,-1.0071771679128467
334,-0.5434202886967885
335,-1.1477015630746175
336,-1.0364719574216803
337,-0.502542261877882
338,-1.0092411347567822
339,-0.14693575936901457
340,-0.630282413425679
341,-1.0865825323631986
342,-0.8177072299219563
343,-0.7000749401424745
344,-0.45781338187093606
345,-0.506566712606887
346,-0.8728600934914801
347,-1.3818097070504864
348,-1.0713503546788212
349,-0.871914461208092
350,-0.8498578551788303
351,-0.6472545424154698
352,-0.8277402237394381
353,-0.4989561538369197
354,-0.5574437148311876
355,-1.0789033472027127
356,-1.0271822131625423
357,-1.1852880053181005
358,-1.0101609666821312
359,-0.6253943712121272
360,-1.0963333742364059
361,-0.6493472255387222
362,-1.2303742957056403
363,-1.2522836720212354
364,-0.8187966919076685
365,-0.8423261917292604
366,-0.549099486862683
367,-0.02817461943681693
368,-0.3342784274173464
369,-0.39413721096346394
370,-0.7174875296113746
371,-1.2915558036834087
372,-0.04168419234420456
373,-0.7796684763292596
374,-1.0553027849689331
375,-0.712056882134148
376,-1.2166634764012048
377,-0.5701866456598835
378,-1.3719888457109186
379,-0.33932213206447975
380,-0.5700786847559408
381,-1.22051954259771
382,-1.0292090548598425
383,-0.4585769629370294
384,-0.8187951602787352
385,-0.3363053437713103
386,-0.7257333100875475
387,-0.5932513466305219
388,-0.2904044591293308
389,-0.5303824641420054
390,-0.6729089766322969
391,-0.23185347332166736
392,-0.8488180521490051
393,-0.3638192540335242
394,-0.9430248979209669
395,-1.3271119544640022
396,-0.7174581841539023
397,0.13426688090108002
398,-1.1839461688768411
399,-0.5881748680865899
400,-0.26642985261591123
401,-0.9472974356692846
402,-0.5732791046091782
403,-0.35571078979349496
404,-1.3048574874759418
405,-0.7007795884938453
406,-0.8184037053911066
407,-1.387673508213978
408,-0.49602043836362253
409,-1.1060753900546025
410,-0.942419813424631
411,-1.4167530947616798
412,-0.9553574631462949
413,-1.543083416730406
414,-0.5216361669859935
415,-0.8683914354483337
416,-0.3328799882958897
417,-0.8594177616646766
418,-0.8822912076428953
419,-0.46938123785659985
420,-0.2112371329477522
421,-0.9533955279784926
422,-0.0991397518572176
423,-0.19936274984407126
424,-0.8245498587341105
425,-0.7578307693167949
426,-0.7326591449324336
427,-0.7022727062754529
428,-1.0612990133771514
429,-0.6601307057918435
430,-0.5349534336399236
431,-0.7754723035616239
432,-0.6904890594295913
433,-0.5840031039158754
434,-0.3716167564494621
435,-0.22226105842176735
436,-0.6222612326521768
437,-0.33129449066776745
438,-0.4900805281092546
439,-0.6932394779475157
440,-0.7545653437974957
441,-0.3230837050852327
442,-0.6084911406820094
443,-0.9266139415953225
444,-0.7428255184081902
445,-0.5671388555379805
